salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
8k-10k,深圳,不限,南山区,少于15人,江门市新会区七月半电子商务有限公司,"电子商务,生活服务",,"后端开发,web,服务器端,运维,自动化,",开发/测试/运维类,"可兼职,可在家工作",python开发工程师,本科,未融资,2017-12-12 17:28:49
10k-15k,深圳,3-5年,南山区,15-50人,深圳网脊科技开发有限公司,"移动互联网,企业服务","股票期权,绩效奖金,岗位晋升,年度旅游,","云计算,php,Java,MySQL,",技术,做五休二 发展前景好 地铁口 五险一金,Python开发工程师,本科,A轮,2017-12-12 11:26:11
10k-20k,深圳,3-5年,南山区,50-150人,前海泰坦科技（深圳）有限公司,"金融,数据服务",,"Java,MySQL,架构,",开发/测试/运维类,"周期长,薪资高",python工程师,不限,不需要融资,2017-12-04 16:06:34
4k-8k,深圳,不限,南山区,15-50人,深圳市和沃翼起科技有限公司,"移动互联网,金融",,"php,Java,c#,",开发/测试/运维类,"前景好,氛围好,还有很多",Python开发工程师,不限,不需要融资,2017-12-04 23:42:30
5k-8k,深圳,不限,宝安区,50-150人,深圳市点趣网络技术有限公司,移动互联网,"股票期权,绩效奖金,五险一金,弹性工作,","云计算,软件开发,js,Java,Ruby,",开发/测试/运维类,O2O,Python助理开发工程师,本科,A轮,2017-12-18 09:51:36
7k-14k,深圳,1-3年,南山区,15-50人,深圳市惠群商业数据技术有限公司,"移动互联网,社交网络","技能培训,专项奖金,带薪年假,绩效奖金,","django,",开发/测试/运维类,"项目前沿,技术提升快,发展空间大",Python开发运维工程师,大专,天使轮,2017-12-20 09:38:20
10k-15k,深圳,1-3年,南山区,15-50人,北京极钛星华信息技术有限公司,"移动互联网,硬件","股票期权,带薪年假,扁平管理,五险一金,","后端开发,node.js,golang,",开发/测试/运维类,"氛围自由,期权奖励",Python后台开发,本科,A轮,2017-12-20 10:29:51
8k-12k,深圳,1-3年,福田区,2000人以上,广东科达洁能股份有限公司,"移动互联网 ,企业服务","专项奖金,带薪年假,定期体检,年度旅游,","web,服务器端,",开发/测试/运维类,"五险一金,生日旅游,项目奖金",软件工程师（python方向）,大专,上市公司,2017-12-19 09:53:03
20k-30k,深圳,不限,南山区,少于15人,深圳市方舟云数信息科技有限公司,"移动互联网,游戏","高薪,扁平管理,",,开发/测试/运维类,后端,Python 开发工程师,本科,不需要融资,2017-11-27 14:49:17
15k-30k,深圳,3-5年,南山区,150-500人,深圳市乐易网络有限公司,"移动互联网,游戏","技术大牛,高逼格环境,两次年度旅游,福利倍儿好,","后端开发,Java,",开发/测试/运维类,"五险一金,餐饮补贴,无上限薪资",web/python全栈工程师,本科,A轮,2017-12-20 09:32:23
15k-25k,深圳,3-5年,南山区,15-50人,深圳市阿西莫夫科技有限公司,"移动互联网,硬件","股票期权,奖金不封顶,全球视野,扁平管理,",,技术,在最高视野完成服务机器人的开发与部署,Python/ C++开发－服务机器人应用程序,本科,A轮,2017-12-18 11:19:35
6k-10k,深圳,1-3年,南山区,50-150人,广东安创信息科技开发有限公司,"信息安全,硬件","技能培训,节日礼物,专项奖金,带薪年假,","信息安全,Java,网络安全,Andriod,",开发/测试/运维类,"五险一金,年终奖,生日福利,员工福利",Python后端开发工程师,本科,不需要融资,2017-11-25 15:38:53
10k-20k,深圳,不限,福田区,少于15人,August Robotics Limited,"移动互联网,其他","股票期权,五险一金,领导好,节日礼物,","软件开发,C++,Java,",开发/测试/运维类,"机器人,五险一金,前沿技术",Python 软件工程师,本科,A轮,2017-12-12 20:38:33
10k-20k,深圳,1-3年,,150-500人,富途网络科技（深圳）有限公司,"移动互联网,金融","年底双薪,腾讯系,互联网金融,年度体检,",,技术,互联网金融,运营开发工程师（Python）,本科,C轮,2017-12-20 10:07:49
15k-30k,深圳,1-3年,龙岗区,少于15人,深圳市百高汇科技发展有限公司,"信息安全,企业服务",,"后端开发,php,Java,MySQL,后端,",开发/测试/运维类,"弹性工作,带薪休假,年底双薪,项目奖金",高级 Python 研发工程师,不限,未融资,2017-12-18 17:08:15
15k-25k,深圳,1-3年,福田区,50-150人,深圳晶泰科技有限公司,"企业服务,医疗健康","节日礼物,股票期权,岗位晋升,扁平管理,","云计算,后端开发,golang,",开发/测试/运维类,"五险一金,年底双薪,带薪年假,双休不打卡",高级后端工程师（python、Go语言）,本科,B轮,2017-12-20 09:36:57
