salary,city,workYear,district,companySize,companyFullName,industryField,companyLabelList,positionLables,firstType,positionAdvantage,positionName,education,financeStage,createTime
15k-30k,上海,5-10年,静安区,50-150人,千言信息技术（上海）有限公司,"电子商务,教育","股票期权,20天年假,高端医疗保险,学习基金计划,","教育,旅游,资深,高级,后端开发,",开发/测试/运维类,"国际团队,全球用户,在线教育,文化驱动",Python,本科,A轮,2017-12-20 10:39:05
20k-40k,上海,3-5年,徐汇区,150-500人,上海拿米金融信息服务有限公司,"移动互联网,金融","年底双薪,股票期权,带薪年假,通讯津贴,","爬虫,",开发/测试/运维类,"环境好,福利好",大数据应用工程师-Python,大专,不需要融资,2017-12-20 10:24:25
10k-20k,上海,1-3年,长宁区,15-50人,上海懿天网络科技有限公司,"移动互联网,文化娱乐","年底双薪,股票期权,帅哥多,扁平管理,","视频,资深,视觉,",开发/测试/运维类,"AI,扁平化,弹性工作制,交通方便",Python开发工程师,本科,天使轮,2017-12-19 11:44:32
15k-25k,上海,3-5年,闵行区,50-150人,上海果雪信息科技有限公司,移动互联网,"年底双薪,带薪年假,午餐补助,通讯津贴,","云计算,电商,Ruby,",开发/测试/运维类,"技术大牛,各类补贴,氛围好,年终奖金",Python开发,本科,A轮,2017-12-20 09:37:38
20k-30k,上海,3-5年,浦东新区,50-150人,内蒙古君正互联网小额贷款有些公司,金融,,"金融,资深,高级,中级,Java,",开发/测试/运维类,"团队氛围好,发展空间大",Python,本科,不需要融资,2017-12-20 09:27:32
15k-30k,上海,1-3年,闸北区,2000人以上,深圳市房多多网络科技有限公司,"移动互联网,O2O","节日礼物,带薪年假,扁平管理,美女多,","云计算,资深,高级,linux,OpenStack,系统工程师,",开发/测试/运维类,平台好，发展广阔，技术大牛多,Python研发工程师,本科,C轮,2017-12-20 09:16:51
15k-25k,上海,3-5年,闸北区,2000人以上,上海克而瑞软件技术有限公司,"移动互联网,电子商务","技能培训,岗位晋升,五险一金,14薪,","中级,php,MySQL,后端,",开发/测试/运维类,"Apach,Flask",Python开发工程师,本科,上市公司,2017-12-13 14:40:04
18k-28k,上海,3-5年,徐汇区,50-150人,上海壤歌市场营销策划有限公司,"移动互联网,企业服务","股票期权,绩效奖金,岗位晋升,扁平管理,",,技术,"技术氛围,技术驱动,弹性工作,文化年轻",资深Python工程师,本科,A轮,2017-12-20 10:50:43
10k-20k,上海,1-3年,浦东新区,150-500人,苏州博纳讯动软件有限公司,"移动互联网,企业服务","凝聚力强,客户群广,发展迅速,团队年轻,","云计算,linux,",开发/测试/运维类,"五险一金,绩效奖金,带薪病假,涨薪快",Python开发,本科,B轮,2017-12-19 10:43:59
18k-20k,上海,3-5年,杨浦区,150-500人,千寻位置网络有限公司,移动互联网,"节日礼物,股票期权,带薪年假,绩效奖金,",,开发/测试/运维类,阿里系薪资福利体系,Java/Python开发工程师,本科,不需要融资,2017-12-20 14:23:46
