work_location,publish_time,position_category,position_link,hiring_number,position_name
深圳,2017-12-03,技术类,http://hr.tencent.com/position_detail.php?id=30298&keywords=&tid=0&lid=0,2,SA-腾讯社交广告反作弊工程师（微信广告方向）
深圳,2017-12-03,技术类,http://hr.tencent.com/position_detail.php?id=33196&keywords=&tid=0&lid=0,3,SNG16-全民K歌Android开发工程师（深圳）
美国,2017-12-03,技术类,http://hr.tencent.com/position_detail.php?id=31394&keywords=&tid=0&lid=0,1,TEG17-自然语言处理研究员（美国）
上海,2017-12-02,职能类,http://hr.tencent.com/position_detail.php?id=31975&keywords=&tid=0&lid=0,1,20765-政府事务经理
深圳,2017-12-02,职能类,http://hr.tencent.com/position_detail.php?id=26514&keywords=&tid=0&lid=0,1,S2-高级风险管理和内部控制分析师（采购管理-信息共享方向）（深圳）
深圳,2017-12-02,产品/项目类,http://hr.tencent.com/position_detail.php?id=27534&keywords=&tid=0&lid=0,1,21309-企鹅辅导活动运营经理（深圳）
北京,2017-12-01,技术类,http://hr.tencent.com/position_detail.php?id=34713&keywords=&tid=0&lid=0,1,22989-C++后台开发工程师（北京）
北京,2017-12-01,职能类,http://hr.tencent.com/position_detail.php?id=34715&keywords=&tid=0&lid=0,2,AQ-司法协作经理
成都,2017-12-01,设计类,http://hr.tencent.com/position_detail.php?id=34700&keywords=&tid=0&lid=0,1,15575-天美L1预研海外手游3D关卡设计师（成都）
深圳,2017-12-01,职能类,http://hr.tencent.com/position_detail.php?id=34440&keywords=&tid=0&lid=0,1,IEG-投资公司管理HRBP（深圳）
深圳,2017-12-01,职能类,http://hr.tencent.com/position_detail.php?id=33922&keywords=&tid=0&lid=0,1,RL-人力效能分析规划经理（深圳）
深圳,2017-12-01,技术类,http://hr.tencent.com/position_detail.php?id=29613&keywords=&tid=0&lid=0,1,MIG03-测试开发工程师（深圳）
上海,2017-12-01,产品/项目类,http://hr.tencent.com/position_detail.php?id=30733&keywords=&tid=0&lid=0,1,15614-项目经理（上海）
深圳,2017-11-30,技术类,http://hr.tencent.com/position_detail.php?id=34682&keywords=&tid=0&lid=0,2,22989-人工智能算法专家（NLP方向）（深圳/成都/上海/北京）
